"Patterns","SATD THEMES","Class"
"FIXME","Something to be fixed","Defect debt"
"TODO: Test","Tests to do","Test debt"
"TODO: Here too?","Inadequate location","Design debt"
"Todo: What?","Misunderstanding","Documentation debt"
"Todo: temporary","Temporary solution or workarounds","Code debt, Design debt"
"TODO: improve","To do better (improvements)","Code debt"
"Bad code","Bad coding practices, Violation of principles of good design, Difficult to be maintained in the future","Code debt, Design debt"
"Would it not better be","Inadequate solution, To do better (improvements)","Code debt, Design debt"
"Find a better way to do this","Inadequate solution, To do better (improvements)","Code debt, Design debt"
"not possible to do better","Inadequate solution, To do better (improvements)","Code debt, Design debt"
"Todo: Is this a good way?","Inadequate solution, Making Question, Open task","Code debt, Design debt"
"probably better ways to implement this","Inadequate solution, To do better (improvements)","Code debt, Design debt"
"is not the correct way","Inadequate solution, To do better (improvements)","Code debt, Design debt"
"not entirely correct","Inadequate solution","Code debt, Design debt"
"other way to implement","Inadequate solution, To do better (improvements)","Code debt, Design debt"
"could probably do better","To do better (improvements)","Code debt"
"big arrays","Bad coding practices","Code debt"
"Clean Up","To do better","Code debt"
"clone code","Duplicate code","Code debt, Design debt"
"Future enhancement","To do better (improvements)","Code debt"
"Ignore the error","Defects or bugs","Defect debt"
"It 's an error","Defects or bugs","Defect debt"
"god class","Violation of principles of good design, Violation of principles of good design","Design debt"
"Harder to fix","Difficult to be maintained in the future","Code debt"
"large class","Difficult to be maintained in the future, Violation of principles of good design","Code debt, Design debt"
"no sense","Misunderstanding","Documentation debt"
"not necessary","Not needed","Test debt"
"not really needed","Not needed","Test debt"
"Quality problem","Low/bad external/internal quality of properties","Code debt"
"test score for nothing","Deficiencies in testing activities","Test debt"
"Unnecessary code","Not needed, Unnecessary  or not used code","Test debt, Code debt"
"What?","Misunderstanding","Documentation debt"
"Don't appear to be used","Difficult to be maintained in the future, Unnecessary  or not used code","Code debt"
"not used in the new APIs","Can causes exception, Difficult to be maintained in the future","Code debt"
"not used","Unnecessary  or not used code","Code debt"
"code is not used","Difficult to be maintained in the future, Unnecessary  or not used code","Code debt"
"no faults are fixed","Defects or bugs","Defect debt"
"not work","It is not working or does not work very well","Code debt"
"Todo: This does not work","It is not working or does not work very well","Code debt"
"TODO: check if this works","It is not working or does not work very well","Code debt"
"Why is this not done","Inadequate solution","Code debt, Design debt"
"Todo: Why is this here?","Inadequate location","Design debt"
"TODO: why is this inside a block?","Inadequate location","Design debt"
"Todo: Why does it fail","Defects or bugs","Defect debt"
"causes and exception","Can causes exception","Code debt"
"show some documentation?","Documentation-missing or inadequate or incomplete","Documentation debt"
"Not are useful here","Inadequate location","Design debt"
"nobody is using","Unnecessary  or not used code","Code debt"
"I don't understant","Misunderstanding","Documentation debt"
"It causes the feedback loop","Can causes exception","Code debt"
"may be optimised","To do better (improvements)","Code debt"
"not the right location","Inadequate location","Design debt"
"probably redundant","Duplicate code","Code debt, Design debt"
"it is used in several places","Duplicate code","Code debt, Design debt"
"clone of this code","Duplicate code","Code debt, Design debt"
"Need to Copy","Duplicate code","Code debt, Design debt"
"This is a bug","Defects or bugs","Defect debt"
"cause issue","Can causes exception","Code debt"
"is slightly different than what's documented","Documentation-missing or inadequate or incomplete","Documentation debt"
"cause problem","Can causes exception","Code debt"
"Todo: does not handle","Can causes exception","Code debt"
"TODO: I don't think it's normal","Violation of principles of good design","Design debt"
"Todo: This needs more work!","Difficult to be maintained in the future, It is not working or does not work very well","Code debt, Code debt"
"Todo: does not work","It is not working or does not work very well","Code debt"
"contains some errors","Defects or bugs","Defect debt"
"FIXME: this could be a problem","Something to be fixed","Defect debt"
"Low code coverage","Insufficient code coverage","Test debt"
"Bad coding practies","Bad coding practices","Code debt"
"Deficiency in testing activities","Deficiencies in testing activities","Test debt"
"Note: This is temporary","Temporary solution or workarounds","Code debt, Design debt"
"need to be in their own files?","Inadequate location","Design debt"
"A much better way","To do better (improvements)","Code debt"
"changes the complete structure","Violation of principles of good design","Design debt"
"Who is calling this?","Can causes exception","Code debt"
"Todo: This probably belongs","Inadequate location","Design debt"
"needs documenting","Documentation-missing or inadequate or incomplete","Documentation debt"
"Information that is required","Documentation-missing or inadequate or incomplete","Documentation debt"
"replace the deprecated","Deprecated code","Code debt"
"currently not used","Unnecessary  or not used code","Code debt"
"not support Java 1.3 any more","Difficult to be maintained in the future, Inadequate solution","Code debt, Design debt"
"need to be fixed","Something to be fixed","Defect debt"
"problems directly in this class","It is not working or does not work very well","Code debt"
"need to do anything here?","Inadequate location","Design debt"
"Todo: This is a temporary method","Temporary solution or workarounds","Design debt"
"I don't understand","Misunderstanding","Documentation debt"
"Todo: This needs work","It is not working or does not work very well","Code debt"
"bug workaround","Defects or bugs, Inadequate solution","Defect debt, Code debt, Design debt"
"Workaround for a bug","Defects or bugs","Defect debt"
"this sucks","Low/bad external/internal quality of properties","Code debt"
"TODO: maybe take here?","Inadequate location","Design debt"
"is not enough","Low/bad external/internal quality of properties","Code debt"
"broken down","It is not working or does not work very well","Code debt"
"horribly Inefficient","It is not working or does not work very well","Code debt"
"large coupled","Difficult to be maintained in the future, Violation of principles of good design","Code debt, Design debt"
"barely understood","Misunderstanding","Documentation debt"
"bad smell","Violation of principles of good design","Design debt"
"deprecated code","Deprecated code","Code debt"
"deprecated api","Deprecated code","Code debt"
"would be better","To do better (improvements)","Code debt"
"probably a bug","Defects or bugs","Defect debt"
"move to the correct owner","Inadequate location","Design debt"
"deprecated call","Deprecated code","Code debt"
"not yet used","Unnecessary  or not used code","Code debt"
"is not updated","Temporary solution or workarounds","Code debt"
"TODO: Do we really have to test","Tests to do","Test debt"
"need to be moved someplace useful","Inadequate location","Design debt"
"should actually not be placed here","Inadequate location","Design debt"
"doesn't do anything","It is not working or does not work very well","Code debt"
"here?","Inadequate location","Design debt"
"Will be hard work","Low/bad external/internal quality of properties","Code debt"
"arbitrary dimensions","Low/bad external/internal quality of properties","Code debt"
"somewhat inconsistent","Difficult to be maintained in the future, Violation of principles of good design","Code debt, Design debt"
"method is unsafe","Low/bad external/internal quality of properties","Code debt"
"Dirty fix","Difficult to be maintained in the future, Low/bad external/internal quality of properties","Code debt, Code debt"
"temporary solution","Temporary solution or workarounds","Code debt, Design debt"
"possible future improvement","To do better (improvements)","Code debt"
"future potential optimizations","To do better (improvements)","Code debt"
"unnecessarily complicated","Difficult to be maintained in the future","Code debt"
"This case is complicated","Difficult to be maintained in the future","Code debt"
"Remove duplicates","Duplicate code","Code debt, Design debt"
"get confused","Difficult to be maintained in the future","Code debt"
"confusing name","Bad coding practices","Code debt"
"Code so long?","Bad coding practices","Code debt"
"difficult to maintain","Difficult to be maintained in the future","Code debt"
"fails the test","Deficiencies in testing activities","Test debt"
"can fail","Can causes exception, Defects or bugs","Code debt, Defect debt"
"assert fails","Defects or bugs","Defect debt"
"repeated code","Duplicate code","Code debt, Design debt"
"rather bad","To do better","Code debt"
"alternative implementation","Temporary solution or workarounds","Code debt, Design debt"
"very expensive","Low/bad external/internal quality of properties","Code debt"
"Note: kind of far-fetched","Low/bad external/internal quality of properties","Code debt"
"Note: This class is messy","Violation of principles of good design","Design debt"
"XXX: hairy code","Difficult to be maintained in the future","Code debt"
"plainly impossible","Difficult to be maintained in the future","Code debt"
"binding bug","Defects or bugs","Defect debt"
"weird hack","Low/bad external/internal quality of properties","Code debt"
"can be expensive","Low/bad external/internal quality of properties","Code debt"
"is not reliable as a unit test","Deficiencies in testing activities","Test debt"
"fully opaque","Low/bad external/internal quality of properties","Code debt"
"clone method","Duplicate code","Code debt, Design debt"
"update the model","Deprecated code","Code debt"
"loops are double","Can causes exception","Code debt"
"may be no need","Not needed","Test debt"
"good idea?","Inadequate solution, Making Question ","Code debt, Design debt"